연도,월,업종,시도,군구,거리,건수
2021,1,카페/디저트,강원도,강릉시,1500m이하,37
2021,1,카페/디저트,강원도,강릉시,1500m초과 3000m이하,24
2021,1,카페/디저트,강원도,강릉시,3000m초과 5000m이하,2
2021,1,카페/디저트,강원도,삼척시,1500m이하,148
2021,1,카페/디저트,강원도,삼척시,1500m초과 3000m이하,11
2021,1,카페/디저트,강원도,원주시,1500m이하,4113
2021,1,카페/디저트,강원도,원주시,1500m초과 3000m이하,1179
2021,1,카페/디저트,강원도,원주시,3000m초과 5000m이하,41
2021,1,카페/디저트,강원도,원주시,5000m초과,1
2021,1,돈까스/일식,경기도,고양시 덕양구,1500m이하,1948
2021,1,돈까스/일식,경기도,고양시 덕양구,1500m초과 3000m이하,1139
2021,1,돈까스/일식,경기도,고양시 덕양구,3000m초과 5000m이하,140
2021,1,배달전문업체,경기도,고양시 덕양구,1500m이하,86
2021,1,배달전문업체,경기도,고양시 덕양구,1500m초과 3000m이하,140
2021,1,분식,경기도,고양시 덕양구,1500m이하,5096
2021,1,분식,경기도,고양시 덕양구,1500m초과 3000m이하,1780
2021,1,분식,경기도,고양시 덕양구,3000m초과 5000m이하,194
2021,1,분식,경기도,고양시 덕양구,5000m초과,1
2021,1,아시안/양식,경기도,고양시 덕양구,1500m이하,894
2021,1,아시안/양식,경기도,고양시 덕양구,1500m초과 3000m이하,535
2021,1,아시안/양식,경기도,고양시 덕양구,3000m초과 5000m이하,165
2021,1,아시안/양식,경기도,고양시 덕양구,5000m초과,21
2021,1,야식,경기도,고양시 덕양구,1500m이하,1161
2021,1,야식,경기도,고양시 덕양구,1500m초과 3000m이하,665
2021,1,야식,경기도,고양시 덕양구,3000m초과 5000m이하,85
2021,1,야식,경기도,고양시 덕양구,5000m초과,1
2021,1,족발/보쌈,경기도,고양시 덕양구,1500m이하,1325
2021,1,족발/보쌈,경기도,고양시 덕양구,1500m초과 3000m이하,707
2021,1,족발/보쌈,경기도,고양시 덕양구,3000m초과 5000m이하,94
2021,1,족발/보쌈,경기도,고양시 덕양구,5000m초과,9
2021,1,중식,경기도,고양시 덕양구,1500m이하,1282
2021,1,중식,경기도,고양시 덕양구,1500m초과 3000m이하,665
2021,1,중식,경기도,고양시 덕양구,3000m초과 5000m이하,30
2021,1,중식,경기도,고양시 덕양구,5000m초과,12
2021,1,찜탕,경기도,고양시 덕양구,1500m이하,248
2021,1,찜탕,경기도,고양시 덕양구,1500m초과 3000m이하,169
2021,1,찜탕,경기도,고양시 덕양구,3000m초과 5000m이하,13
2021,1,찜탕,경기도,고양시 덕양구,5000m초과,1
2021,1,치킨,경기도,고양시 덕양구,1500m이하,5598
2021,1,치킨,경기도,고양시 덕양구,1500m초과 3000m이하,2400
2021,1,치킨,경기도,고양시 덕양구,3000m초과 5000m이하,225
2021,1,카페/디저트,경기도,고양시 덕양구,1500m이하,801
2021,1,카페/디저트,경기도,고양시 덕양구,1500m초과 3000m이하,695
2021,1,카페/디저트,경기도,고양시 덕양구,3000m초과 5000m이하,77
2021,1,카페/디저트,경기도,고양시 덕양구,5000m초과,3
2021,1,패스트푸드,경기도,고양시 덕양구,1500m이하,4543
2021,1,패스트푸드,경기도,고양시 덕양구,1500m초과 3000m이하,569
2021,1,패스트푸드,경기도,고양시 덕양구,3000m초과 5000m이하,19
2021,1,피자,경기도,고양시 덕양구,1500m이하,1523
2021,1,피자,경기도,고양시 덕양구,1500m초과 3000m이하,747
2021,1,피자,경기도,고양시 덕양구,3000m초과 5000m이하,138
2021,1,피자,경기도,고양시 덕양구,5000m초과,2
2021,1,한식,경기도,고양시 덕양구,1500m이하,4285
2021,1,한식,경기도,고양시 덕양구,1500m초과 3000m이하,1507
2021,1,한식,경기도,고양시 덕양구,3000m초과 5000m이하,272
2021,1,한식,경기도,고양시 덕양구,5000m초과,1
2021,1,회,경기도,고양시 덕양구,1500m이하,1833
2021,1,회,경기도,고양시 덕양구,1500m초과 3000m이하,1111
2021,1,회,경기도,고양시 덕양구,3000m초과 5000m이하,196
2021,1,회,경기도,고양시 덕양구,5000m초과,9
2021,1,도시락,경기도,광명시,1500m이하,45
2021,1,도시락,경기도,광명시,1500m초과 3000m이하,27
2021,1,도시락,경기도,광명시,3000m초과 5000m이하,30
2021,1,도시락,경기도,광명시,5000m초과,1
2021,1,돈까스/일식,경기도,광명시,1500m이하,3333
2021,1,돈까스/일식,경기도,광명시,1500m초과 3000m이하,1811
2021,1,돈까스/일식,경기도,광명시,3000m초과 5000m이하,347
2021,1,돈까스/일식,경기도,광명시,5000m초과,69
2021,1,배달전문업체,경기도,광명시,1500m이하,419
2021,1,배달전문업체,경기도,광명시,1500m초과 3000m이하,214
2021,1,배달전문업체,경기도,광명시,3000m초과 5000m이하,50
2021,1,배달전문업체,경기도,광명시,5000m초과,5
2021,1,분식,경기도,광명시,1500m이하,2184
2021,1,분식,경기도,광명시,1500m초과 3000m이하,1200
2021,1,분식,경기도,광명시,3000m초과 5000m이하,115
2021,1,분식,경기도,광명시,5000m초과,2
2021,1,아시안/양식,경기도,광명시,1500m이하,1089
2021,1,아시안/양식,경기도,광명시,1500m초과 3000m이하,504
2021,1,아시안/양식,경기도,광명시,3000m초과 5000m이하,99
2021,1,야식,경기도,광명시,1500m이하,367
2021,1,야식,경기도,광명시,1500m초과 3000m이하,404
2021,1,야식,경기도,광명시,3000m초과 5000m이하,123
2021,1,야식,경기도,광명시,5000m초과,23
2021,1,족발/보쌈,경기도,광명시,1500m이하,2381
2021,1,족발/보쌈,경기도,광명시,1500m초과 3000m이하,1296
2021,1,족발/보쌈,경기도,광명시,3000m초과 5000m이하,154
2021,1,족발/보쌈,경기도,광명시,5000m초과,11
2021,1,중식,경기도,광명시,1500m이하,3128
2021,1,중식,경기도,광명시,1500m초과 3000m이하,82
2021,1,찜탕,경기도,광명시,1500m이하,1586
2021,1,찜탕,경기도,광명시,1500m초과 3000m이하,1191
2021,1,찜탕,경기도,광명시,3000m초과 5000m이하,301
2021,1,찜탕,경기도,광명시,5000m초과,28
2021,1,치킨,경기도,광명시,1500m이하,1920
2021,1,치킨,경기도,광명시,1500m초과 3000m이하,557
2021,1,치킨,경기도,광명시,3000m초과 5000m이하,28
2021,1,치킨,경기도,광명시,5000m초과,2
2021,1,카페/디저트,경기도,광명시,1500m이하,2113
2021,1,카페/디저트,경기도,광명시,1500m초과 3000m이하,980
2021,1,카페/디저트,경기도,광명시,3000m초과 5000m이하,48
2021,1,카페/디저트,경기도,광명시,5000m초과,3
2021,1,패스트푸드,경기도,광명시,1500m이하,1874
2021,1,패스트푸드,경기도,광명시,1500m초과 3000m이하,662
2021,1,패스트푸드,경기도,광명시,3000m초과 5000m이하,79
2021,1,패스트푸드,경기도,광명시,5000m초과,13
2021,1,피자,경기도,광명시,1500m이하,436
2021,1,피자,경기도,광명시,1500m초과 3000m이하,202
2021,1,피자,경기도,광명시,3000m초과 5000m이하,43
2021,1,한식,경기도,광명시,1500m이하,2627
2021,1,한식,경기도,광명시,1500m초과 3000m이하,1189
2021,1,한식,경기도,광명시,3000m초과 5000m이하,116
2021,1,한식,경기도,광명시,5000m초과,3
2021,1,회,경기도,광명시,1500m이하,458
2021,1,회,경기도,광명시,1500m초과 3000m이하,156
2021,1,회,경기도,광명시,3000m초과 5000m이하,30
2021,1,회,경기도,광명시,5000m초과,1
2021,1,도시락,경기도,광주시,1500m이하,8
2021,1,도시락,경기도,광주시,1500m초과 3000m이하,8
2021,1,도시락,경기도,광주시,3000m초과 5000m이하,2
2021,1,돈까스/일식,경기도,광주시,1500m이하,257
2021,1,돈까스/일식,경기도,광주시,1500m초과 3000m이하,123
2021,1,돈까스/일식,경기도,광주시,3000m초과 5000m이하,9
2021,1,분식,경기도,광주시,1500m이하,421
2021,1,분식,경기도,광주시,1500m초과 3000m이하,176
2021,1,분식,경기도,광주시,3000m초과 5000m이하,48
2021,1,야식,경기도,광주시,1500m이하,71
2021,1,야식,경기도,광주시,1500m초과 3000m이하,58
2021,1,야식,경기도,광주시,3000m초과 5000m이하,20
2021,1,족발/보쌈,경기도,광주시,1500m이하,317
2021,1,족발/보쌈,경기도,광주시,1500m초과 3000m이하,81
2021,1,족발/보쌈,경기도,광주시,3000m초과 5000m이하,31
2021,1,찜탕,경기도,광주시,1500m이하,586
2021,1,찜탕,경기도,광주시,1500m초과 3000m이하,401
2021,1,찜탕,경기도,광주시,3000m초과 5000m이하,133
2021,1,찜탕,경기도,광주시,5000m초과,2
2021,1,치킨,경기도,광주시,1500m이하,2799
2021,1,치킨,경기도,광주시,1500m초과 3000m이하,553
2021,1,치킨,경기도,광주시,3000m초과 5000m이하,86
2021,1,치킨,경기도,광주시,5000m초과,1
2021,1,카페/디저트,경기도,광주시,1500m이하,48
2021,1,카페/디저트,경기도,광주시,1500m초과 3000m이하,70
2021,1,카페/디저트,경기도,광주시,3000m초과 5000m이하,8
2021,1,패스트푸드,경기도,광주시,1500m이하,533
2021,1,패스트푸드,경기도,광주시,1500m초과 3000m이하,162
2021,1,패스트푸드,경기도,광주시,3000m초과 5000m이하,2
2021,1,피자,경기도,광주시,1500m이하,599
2021,1,피자,경기도,광주시,1500m초과 3000m이하,244
2021,1,피자,경기도,광주시,3000m초과 5000m이하,63
2021,1,한식,경기도,광주시,1500m이하,247
2021,1,한식,경기도,광주시,1500m초과 3000m이하,127
2021,1,한식,경기도,광주시,3000m초과 5000m이하,29
2021,1,카페/디저트,경기도,구리시,1500m이하,140
2021,1,도시락,경기도,남양주시,1500m이하,318
2021,1,도시락,경기도,남양주시,1500m초과 3000m이하,186
2021,1,도시락,경기도,남양주시,3000m초과 5000m이하,79
2021,1,돈까스/일식,경기도,남양주시,1500m이하,571
2021,1,돈까스/일식,경기도,남양주시,1500m초과 3000m이하,672
2021,1,돈까스/일식,경기도,남양주시,3000m초과 5000m이하,154
2021,1,돈까스/일식,경기도,남양주시,5000m초과,18
2021,1,배달전문업체,경기도,남양주시,1500m이하,883
2021,1,배달전문업체,경기도,남양주시,1500m초과 3000m이하,633
2021,1,배달전문업체,경기도,남양주시,3000m초과 5000m이하,207
2021,1,배달전문업체,경기도,남양주시,5000m초과,1
2021,1,분식,경기도,남양주시,1500m이하,2060
2021,1,분식,경기도,남양주시,1500m초과 3000m이하,1146
2021,1,분식,경기도,남양주시,3000m초과 5000m이하,260
2021,1,분식,경기도,남양주시,5000m초과,1
2021,1,아시안/양식,경기도,남양주시,1500m이하,341
2021,1,아시안/양식,경기도,남양주시,1500m초과 3000m이하,441
2021,1,아시안/양식,경기도,남양주시,3000m초과 5000m이하,93
2021,1,아시안/양식,경기도,남양주시,5000m초과,6
2021,1,야식,경기도,남양주시,1500m이하,1312
2021,1,야식,경기도,남양주시,1500m초과 3000m이하,1083
2021,1,야식,경기도,남양주시,3000m초과 5000m이하,372
2021,1,족발/보쌈,경기도,남양주시,1500m이하,1934
2021,1,족발/보쌈,경기도,남양주시,1500m초과 3000m이하,1218
2021,1,족발/보쌈,경기도,남양주시,3000m초과 5000m이하,371
2021,1,족발/보쌈,경기도,남양주시,5000m초과,38
2021,1,중식,경기도,남양주시,1500m이하,956
2021,1,중식,경기도,남양주시,1500m초과 3000m이하,1002
2021,1,중식,경기도,남양주시,3000m초과 5000m이하,323
2021,1,중식,경기도,남양주시,5000m초과,6
2021,1,찜탕,경기도,남양주시,1500m이하,1329
2021,1,찜탕,경기도,남양주시,1500m초과 3000m이하,956
2021,1,찜탕,경기도,남양주시,3000m초과 5000m이하,230
2021,1,찜탕,경기도,남양주시,5000m초과,13
2021,1,치킨,경기도,남양주시,1500m이하,3108
2021,1,치킨,경기도,남양주시,1500m초과 3000m이하,2912
2021,1,치킨,경기도,남양주시,3000m초과 5000m이하,829
2021,1,치킨,경기도,남양주시,5000m초과,3
2021,1,카페/디저트,경기도,남양주시,1500m이하,3888
2021,1,카페/디저트,경기도,남양주시,1500m초과 3000m이하,968
2021,1,카페/디저트,경기도,남양주시,3000m초과 5000m이하,73
2021,1,카페/디저트,경기도,남양주시,5000m초과,8
2021,1,패스트푸드,경기도,남양주시,1500m이하,663
2021,1,패스트푸드,경기도,남양주시,1500m초과 3000m이하,706
2021,1,패스트푸드,경기도,남양주시,3000m초과 5000m이하,18
2021,1,피자,경기도,남양주시,1500m이하,1997
2021,1,피자,경기도,남양주시,1500m초과 3000m이하,1617
2021,1,피자,경기도,남양주시,3000m초과 5000m이하,784
2021,1,피자,경기도,남양주시,5000m초과,1
2021,1,한식,경기도,남양주시,1500m이하,2227
2021,1,한식,경기도,남양주시,1500m초과 3000m이하,1886
2021,1,한식,경기도,남양주시,3000m초과 5000m이하,504
2021,1,한식,경기도,남양주시,5000m초과,39
2021,1,회,경기도,남양주시,1500m이하,775
2021,1,회,경기도,남양주시,1500m초과 3000m이하,248
2021,1,회,경기도,남양주시,3000m초과 5000m이하,168
2021,1,회,경기도,남양주시,5000m초과,4
2021,1,돈까스/일식,경기도,동두천시,1500m이하,683
2021,1,돈까스/일식,경기도,동두천시,1500m초과 3000m이하,363
2021,1,돈까스/일식,경기도,동두천시,3000m초과 5000m이하,75
2021,1,돈까스/일식,경기도,동두천시,5000m초과,11
2021,1,분식,경기도,동두천시,1500m이하,1033
2021,1,분식,경기도,동두천시,1500m초과 3000m이하,318
2021,1,분식,경기도,동두천시,3000m초과 5000m이하,52
2021,1,분식,경기도,동두천시,5000m초과,3
2021,1,심부름,경기도,동두천시,5000m초과,2
