seq,stdDay,gubun,gubunCn,gubunEn,deathCnt,incDec,isolClearCnt,qurRate,defCnt,isolIngCnt,overFlowCnt,localOccCnt,createDt,updateDt
1,2020년 3월 1일 16시,합계,,,18,586,,,,,,,43892.81108,
2,2020년 3월 1일 16시,서울,,,,10,,,,,,,43892.81108,
3,2020년 3월 1일 16시,부산,,,,3,,,,,,,43892.81108,
4,2020년 3월 1일 16시,대구,,,9,469,,,,,,,43892.81108,
5,2020년 3월 1일 16시,인천,,,,,,,,,,,43892.81108,
6,2020년 3월 1일 16시,광주,,,,,,,,,,,43892.81108,
7,2020년 3월 1일 16시,대전,,,,,,,,,,,43892.81108,
8,2020년 3월 1일 16시,울산,,,,3,,,,,,,43892.81108,
9,2020년 3월 1일 16시,세종,,,,,,,,,,,43892.81108,
10,2020년 03월 1일 16시,경기,,,1,7,,,,,,,43892.81108,
11,2020년 3월 1일 16시,강원,,,,8,,,,,,,43892.81108,
12,2020년 3월 1일 16시,충북,,,,1,,,,,,,43892.81108,
13,2020년 3월 1일 16시,충남,,,,13,,,,,,,43892.81108,
14,2020년 3월 1일 16시,전북,,,,1,,,,,,,43892.81108,
15,2020년 3월 1일 16시,전남,,,,,,,,,,,43892.81108,
16,2020년 3월 1일 16시,경북,,,8,67,,,,,,,43892.81108,
17,2020년 3월 1일 16시,경남,,,,4,,,,,,,43892.81108,
18,2020년 3월 1일 16시,제주,,,,,,,,,,,43892.81108,
19,2020년 3월 1일 16시,검역,,,,,,,,,,,43892.81108,43893.8367
20,2020년 3월 4일 00시,합계,,,32,516,,10.3,5328,,,,43894.82254,
21,2020년 3월 4일 00시,서울,,,,1,,1,99,,,,43894.82254,
22,2020년 3월 4일 00시,부산,,,1,3,,2.7,93,,,,43894.82254,
23,2020년 3월 4일 00시,대구,,,24,405,,164.4,4006,,,,43894.82254,
24,2020년 3월 4일 00시,인천,,,,2,,0.3,9,,,,43894.82254,
25,2020년 3월 4일 00시,광주,,,,2,,0.9,13,,,,43894.82254,
26,2020년 3월 4일 00시,대전,,,,1,,1,15,,,,43894.82254,
27,2020년 3월 4일 00시,울산,,,,3,,2,23,,,,43894.82254,
28,2020년 3월 4일 00시,세종,,,,,,0.3,1,,,,43894.82254,
29,2020년 03월 4일 00시,경기,,,1,7,,0.8,101,,,,43894.82254,
30,2020년 3월 4일 00시,강원,,,,1,,1.4,21,,,,43894.82254,
31,2020년 3월 4일 00시,충북,,,,,,0.7,11,,,,43894.82254,
32,2020년 3월 4일 00시,충남,,,,1,,3.9,82,,,,43894.82254,
33,2020년 3월 4일 00시,전북,,,,,,0.4,7,,,,43894.82254,
34,2020년 3월 4일 00시,전남,,,,,,0.3,5,,,,43894.82254,
35,2020년 3월 4일 00시,경북,,,6,89,,29.1,774,,,,43894.82254,
36,2020년 3월 4일 00시,경남,,,,1,,1.9,65,,,,43894.82254,
