,,,<,이륜차,통계표,,>,,,,,,,,
통계년월:,2020.1,,,,,,,,,,,,,,
구분,계,,,,,관용,,,,,자가용,,,,
시도명,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
서울,458871 ,20233 ,144833 ,260546 ,33259 ,4532 ,328 ,941 ,3103 ,160 ,454339 ,19905 ,143892 ,257443 ,33099 
부산,136177 ,6277 ,36990 ,84765 ,8145 ,1363 ,145 ,151 ,1024 ,43 ,134814 ,6132 ,36839 ,83741 ,8102 
대구,137128 ,10564 ,58090 ,62123 ,6351 ,1222 ,175 ,202 ,813 ,32 ,135906 ,10389 ,57888 ,61310 ,6319 
인천,79268 ,4032 ,29460 ,39886 ,5890 ,1007 ,13 ,193 ,767 ,34 ,78261 ,4019 ,29267 ,39119 ,5856 
광주,40967 ,2008 ,15910 ,20864 ,2185 ,489 ,21 ,50 ,408 ,10 ,40478 ,1987 ,15860 ,20456 ,2175 
대전,39269 ,3585 ,11443 ,20929 ,3312 ,473 ,33 ,67 ,363 ,10 ,38796 ,3552 ,11376 ,20566 ,3302 
울산,64583 ,3709 ,12030 ,45656 ,3188 ,494 ,99 ,49 ,333 ,13 ,64089 ,3610 ,11981 ,45323 ,3175 
세종,11592 ,782 ,5289 ,4809 ,712 ,118 ,8 ,10 ,96 ,4 ,11474 ,774 ,5279 ,4713 ,708 
경기,415451 ,19114 ,152774 ,210194 ,33369 ,4869 ,167 ,1003 ,3579 ,120 ,410582 ,18947 ,151771 ,206615 ,33249 
강원,66978 ,5591 ,24509 ,33024 ,3854 ,957 ,55 ,56 ,807 ,39 ,66021 ,5536 ,24453 ,32217 ,3815 
충북,92559 ,7047 ,40670 ,40714 ,4128 ,1191 ,73 ,269 ,810 ,39 ,91368 ,6974 ,40401 ,39904 ,4089 
충남,136911 ,9205 ,64769 ,57531 ,5406 ,1771 ,179 ,445 ,1110 ,37 ,135140 ,9026 ,64324 ,56421 ,5369 
전북,100726 ,7119 ,50003 ,40558 ,3046 ,1351 ,90 ,303 ,937 ,21 ,99375 ,7029 ,49700 ,39621 ,3025 
전남,119117 ,7666 ,59238 ,49072 ,3141 ,2049 ,130 ,619 ,1264 ,36 ,117068 ,7536 ,58619 ,47808 ,3105 
경북,189137 ,15420 ,86142 ,81198 ,6377 ,2074 ,84 ,504 ,1426 ,60 ,187063 ,15336 ,85638 ,79772 ,6317 
경남,165628 ,11466 ,58947 ,87508 ,7707 ,2132 ,148 ,410 ,1537 ,37 ,163496 ,11318 ,58537 ,85971 ,7670 
제주,33297 ,7026 ,10622 ,14095 ,1554 ,505 ,133 ,76 ,272 ,24 ,32792 ,6893 ,10546 ,13823 ,1530 
합계,2287659 ,140844 ,861719 ,1153472 ,131624 ,26597 ,1881 ,5348 ,18649 ,719 ,2261062 ,138963 ,856371 ,1134823 ,130905 
,,,,,,,,,,,,,,,
"※전월말 신고현황 :  2,284,258대",,,,,,,,,,,,,,,
"※전월말 대비증감현황 :  3,401대",,,,,,,,,,,,,,,
