가해운전자 차종별 ,사고년도,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
가해운전자 차종별 ,사고년도,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
합계,사고건수,229600 ,16552 ,14752 ,18133 ,19104 ,20779 ,18968 ,19234 ,19992 ,19331 ,21690 ,21517 ,19548 ,209654 ,16968 ,16285 ,14949 ,16186 ,18184 ,19017 ,18302 ,17616 ,18124 ,19255 ,18438 ,16330 
합계,사망자수,3349 ,296 ,203 ,252 ,286 ,305 ,279 ,241 ,253 ,287 ,337 ,297 ,313 ,3081 ,277 ,222 ,239 ,213 ,254 ,254 ,240 ,295 ,301 ,309 ,261 ,216 
합계,부상자수,341712 ,24269 ,22612 ,26908 ,28438 ,31077 ,28315 ,28353 ,30358 ,28746 ,32050 ,31623 ,28963 ,306194 ,25442 ,23558 ,21823 ,23781 ,26791 ,27880 ,26969 ,26264 ,25839 ,28190 ,26698 ,22959 
승용차,사고건수,151365 ,11270 ,10185 ,12163 ,12597 ,13388 ,12252 ,12486 ,12892 ,12628 ,14037 ,14260 ,13207 ,136878 ,11547 ,11002 ,9804 ,10455 ,11729 ,12343 ,12044 ,11540 ,11520 ,12295 ,11978 ,10621 
승용차,사망자수,1571 ,157 ,116 ,115 ,131 ,145 ,117 ,97 ,119 ,126 ,160 ,144 ,144 ,1410 ,135 ,107 ,118 ,111 ,90 ,112 ,124 ,147 ,127 ,136 ,121 ,82 
승용차,부상자수,232408 ,17063 ,16149 ,18608 ,19252 ,20775 ,18922 ,19176 ,20172 ,19404 ,21366 ,21422 ,20099 ,206840 ,17779 ,16422 ,14774 ,15958 ,17947 ,18745 ,18209 ,17835 ,17115 ,18838 ,17804 ,15414 
승합차,사고건수,14221 ,1008 ,859 ,1168 ,1189 ,1285 ,1150 ,1164 ,1259 ,1210 ,1400 ,1302 ,1227 ,10463 ,1035 ,951 ,684 ,776 ,926 ,930 ,945 ,823 ,831 ,905 ,939 ,718 
승합차,사망자수,209 ,15 ,12 ,11 ,21 ,17 ,18 ,21 ,11 ,22 ,19 ,19 ,23 ,165 ,14 ,15 ,13 ,12 ,20 ,14 ,10 ,12 ,14 ,10 ,17 ,14 
